State,Jurisdiction,FIPSCode,QD1a,QD1_Comment,QD2a,QD2b,QD2c,QD2d,QD2_Other,QD2e,QD2f,QD2g,QD2_Total,QD2g_Other,QD2_Comment,QD3a,QD3_Comment,QD4a,QD4b,QD4c,QD4d,QD4e,QD4f,QD4_Total,QD4_Comment,QD5,QD5_Comment
IN,BOONE COUNTY,1801100000,53,,313,52,260,-999999,,0,1,-999999,313,,,286,,1,,,,,,1,average age of our county's poll workers is above the age of 70 yrs old.,Somewhat difficult,
IN,CASS COUNTY,1801700000,40,,28,7,7,-999999,,7,7,-999999,28,,,44,,0,0,5,14,25,0,44,,Very easy,
IN,DEKALB COUNTY,1803300000,39,,21,20,0,-999999,,0,1,-999999,21,,,180,,13,3,0,41,102,21,180,,Very difficult,
IN,ELKHART COUNTY,1803900000,118,,83,81,0,-999999,,0,2,-999999,83,,,555,,1,,,,,,1,,Very difficult,
IN,FAYETTE COUNTY,1804100000,28,,29,27,1,-999999,,1,0,-999999,29,,,135,,0,0,0,67,68,0,135,,Very difficult,
IN,HAMILTON COUNTY,1805700000,208,,127,126,0,-999999,,1,0,-999999,127,,,931,,20,59,89,354,190,219,931,Our oldest poll worker was 91. We had quite a few in their 80s that have worked for years.,Somewhat difficult,It is hard to find young/middle age poll workers due to their work responsibilities and childcare responsibilities.
IN,JACKSON COUNTY,1807100000,30,,25,24,0,-999999,,1,0,-999999,25,,,138,,0,5,7,49,65,12,138,It seems that poll locations run more smoothly when there is at least one or two younger poll workers to help with electronic voting machines. Ages 18-50 seem to be the easiest to train.,Neither difficult nor easy,
IN,JASPER COUNTY,1807300000,29,,28,26,0,-999999,,1,1,-999999,28,,,145,,0,0,15,110,20,0,145,,Neither difficult nor easy,
IN,KOSCIUSKO COUNTY,1808500000,75,,40,38,0,-999999,,1,1,-999999,40,,,325,,1,,,,,,1,"Majority of our poll workers would be between 60 and 80, but I do not have an exact number.",Very difficult,We have a lot of cancellations the closer you get to the election. Some quit after training because they didn't know what they were getting into.
IN,LAPORTE COUNTY,1809100000,91,,64,60,0,-999999,,2,2,-999999,64,,,510,,4,0,0,0,200,200,404,Most retired - some unemployed,Neither difficult nor easy,They are picked by Prececint Committeeman Getting all info for payroll was more difficult
IN,MIAMI COUNTY,1810300000,31,,38,19,19,-999999,,0,0,-999999,38,,,155,,0,0,0,55,80,20,155,,Neither difficult nor easy,The difficulty was in the Primary Election. Very difficult.
IN,MONTGOMERY COUNTY,1810700000,27,,28,27,0,-999999,,0,1,-999999,28,,,135,,0,2,6,31,43,51,133,,Neither difficult nor easy,
IN,PARKE COUNTY,1812100000,17,,33,13,17,-999999,,1,2,-999999,33,,,65,,0,5,15,10,15,20,65,,Neither difficult nor easy,
IN,PULASKI COUNTY,1813100000,15,,29,15,13,-999999,,1,0,-999999,29,,,77,,0,0,0,14,34,17,65,,Somewhat difficult,
IN,TIPPECANOE COUNTY,1815700000,116,,39,19,0,-999999,,19,1,-999999,39,,,81,,0,15,19,40,4,2,80,We train our pollworkers so I do not feel age is a determining factor. We base placement on the workers' ability not on their age.,Somewhat easy,
IN,WABASH COUNTY,1816900000,26,,154,20,134,-999999,,0,0,-999999,154,,,134,,3,3,4,37,31,56,134,,Somewhat difficult,The difficulty comes with having to deal with Precinct Committeeman and/or Party Chairs who leave it to the Clerk's office to find the workers within the last two weeks prior to the Election.
IN,WELLS COUNTY,1817900000,22,,24,22,0,-999999,,1,1,-999999,24,,,105,,0,14,7,20,37,27,105,,Somewhat difficult,Democratic Party Chair had a had time finding his poll workers
MD,ALLEGANY COUNTY,2400100000,36,,37,36,0,,,1,0,,37,,,299,,0,2,24,116,95,44,281,,Somewhat difficult,
MD,ANNE ARUNDEL COUNTY,2400300000,189,,161,156,0,,,5,0,,161,,,2578,,31,110,201,882,821,513,2558,,Somewhat easy,Republicans: Somewhat easy; Democrats: Very easy
MD,BALTIMORE COUNTY,2400500000,227,,198,193,0,,,5,0,,198,,,2746,,0,146,280,1048,756,502,2732,,Very difficult,Republicans: Very difficult; Democrats: Somewhat difficult
MD,CARROLL COUNTY,2401300000,35,,33,32,0,,,1,0,,33,,,472,,1,11,24,164,192,57,449,,Somewhat easy, 
MD,CHARLES COUNTY,2401700000,43,,44,43,0,,,0,1,,44,,,599,,5,43,46,272,129,62,557,,Very difficult,Republicans: Very difficult; Democrats: Neither
